train_bce_step,epoch,step,val_bce,val_mcc,train_bce_epoch,test_bce,test_mcc
1.0513560771942139,0,9,,,,,
,0,16,0.6695206761360168,0.0,,,
,0,16,,,0.9775398373603821,,
0.6504033207893372,1,19,,,,,
0.6438984274864197,1,29,,,,,
,1,33,0.5966149568557739,0.33989644050598145,,,
,1,33,,,0.6559871435165405,,
0.5708309412002563,2,39,,,,,
0.5174731612205505,2,49,,,,,
,2,50,0.5859806537628174,0.4180036783218384,,,
,2,50,,,0.5705980658531189,,
0.6121899485588074,3,59,,,,,
,3,67,0.5303048491477966,0.34721639752388,,,
,3,67,,,0.5219435691833496,,
0.49454355239868164,4,69,,,,,
0.5182321667671204,4,79,,,,,
,4,84,0.4581545293331146,0.5202426314353943,,,
,4,84,,,0.4910889267921448,,
0.43379324674606323,5,89,,,,,
0.5178993940353394,5,99,,,,,
,5,101,0.4423094689846039,0.5378158688545227,,,
,5,101,,,0.4456407427787781,,
0.40410947799682617,6,109,,,,,
,6,118,0.4776989817619324,0.4817694425582886,,,
,6,118,,,0.42709213495254517,,
0.4763759970664978,7,119,,,,,
0.34776872396469116,7,129,,,,,
,7,135,0.4817962944507599,0.540764570236206,,,
,7,135,,,0.41986504197120667,,
0.3594207763671875,8,139,,,,,
0.46566852927207947,8,149,,,,,
,8,152,0.45381197333335876,0.5573152303695679,,,
,8,152,,,0.4117846190929413,,
0.5764060020446777,9,159,,,,,
0.5437058210372925,9,169,,,,,
,9,169,0.42551326751708984,0.595763087272644,,,
,9,169,,,0.38301512598991394,,
0.4059198498725891,10,179,,,,,
,10,186,0.4108830690383911,0.6134344339370728,,,
,10,186,,,0.3805360794067383,,
0.3187839984893799,11,189,,,,,
0.5881249308586121,11,199,,,,,
,11,203,0.41263502836227417,0.6129661202430725,,,
,11,203,,,0.36487239599227905,,
0.32792234420776367,12,209,,,,,
0.3825020492076874,12,219,,,,,
,12,220,0.4713134467601776,0.5209493637084961,,,
,12,220,,,0.37221014499664307,,
0.27051910758018494,13,229,,,,,
,13,237,0.4127179682254791,0.5706358551979065,,,
,13,237,,,0.3559625446796417,,
0.2784132659435272,14,239,,,,,
0.34910574555397034,14,249,,,,,
,14,254,0.4230746328830719,0.5424790978431702,,,
,14,254,,,0.33103135228157043,,
0.3603665232658386,15,259,,,,,
0.24961146712303162,15,269,,,,,
,15,271,0.42449745535850525,0.5686769485473633,,,
,15,271,,,0.30886098742485046,,
0.19637152552604675,16,279,,,,,
,16,288,0.4206751883029938,0.6156670451164246,,,
,16,288,,,0.4009544253349304,,
0.31014886498451233,17,289,,,,,
0.29089727997779846,17,299,,,,,
,17,305,0.42525196075439453,0.6053430438041687,,,
,17,305,,,0.3175940215587616,,
0.2509770393371582,18,309,,,,,
0.37462466955184937,18,319,,,,,
,18,322,0.452943354845047,0.6054948568344116,,,
,18,322,,,0.30782264471054077,,
0.29441070556640625,19,329,,,,,
0.2586982250213623,19,339,,,,,
,19,339,0.46895596385002136,0.5908750891685486,,,
,19,339,,,0.2973741590976715,,
0.16358770430088043,20,349,,,,,
,20,356,0.44514042139053345,0.5664582848548889,,,
,20,356,,,0.2681329846382141,,
0.25896120071411133,21,359,,,,,
0.2707846760749817,21,369,,,,,
,21,373,0.4923708438873291,0.5149413347244263,,,
,21,373,,,0.2432544082403183,,
0.24649670720100403,22,379,,,,,
0.19465216994285583,22,389,,,,,
,22,390,0.49752703309059143,0.6023335456848145,,,
,22,390,,,0.22141626477241516,,
0.2783494293689728,23,399,,,,,
,23,407,0.5307960510253906,0.5535966753959656,,,
,23,407,,,0.2229861617088318,,
0.24461184442043304,24,409,,,,,
0.2585023045539856,24,419,,,,,
,24,424,0.49974486231803894,0.5659161806106567,,,
,24,424,,,0.23361875116825104,,
0.1700097918510437,25,429,,,,,
0.17987629771232605,25,439,,,,,
,25,441,0.5011284947395325,0.5829052329063416,,,
,25,441,,,0.2819208800792694,,
0.1996159702539444,26,449,,,,,
,26,458,0.5083596110343933,0.5360724925994873,,,
,26,458,,,0.19798290729522705,,
0.1255747377872467,27,459,,,,,
0.0775030180811882,27,469,,,,,
,27,475,0.6627362966537476,0.5547431707382202,,,
,27,475,,,0.1581335812807083,,
0.15460273623466492,28,479,,,,,
0.1541668027639389,28,489,,,,,
,28,492,0.49735763669013977,0.5465832948684692,,,
,28,492,,,0.28858211636543274,,
0.34929028153419495,29,499,,,,,
0.19964277744293213,29,509,,,,,
,29,509,0.5026253461837769,0.5806952714920044,,,
,29,509,,,0.2358274757862091,,
0.21148407459259033,30,519,,,,,
,30,526,0.632550835609436,0.5408629775047302,,,
,30,526,,,0.16420741379261017,,
,10,527,,,,0.33636078238487244,0.6783192157745361
