train_bce_step,epoch,step,val_bce,val_mcc,train_bce_epoch,test_bce,test_mcc
0.7076947093009949,0,9,,,,,
,0,16,0.6206941604614258,0.3647601306438446,,,
,0,16,,,1.076696515083313,,
0.5669131875038147,1,19,,,,,
0.7337667346000671,1,29,,,,,
,1,33,0.5726989507675171,0.4499957263469696,,,
,1,33,,,0.5961496233940125,,
0.5729768872261047,2,39,,,,,
0.5470524430274963,2,49,,,,,
,2,50,0.4927305281162262,0.4816524088382721,,,
,2,50,,,0.5223492980003357,,
0.4836622178554535,3,59,,,,,
,3,67,0.45655912160873413,0.5214125514030457,,,
,3,67,,,0.4775513708591461,,
0.4560626149177551,4,69,,,,,
0.4301343262195587,4,79,,,,,
,4,84,0.4558137357234955,0.5332266092300415,,,
,4,84,,,0.47656893730163574,,
0.5001803040504456,5,89,,,,,
0.5043574571609497,5,99,,,,,
,5,101,0.49087101221084595,0.4609762728214264,,,
,5,101,,,0.47368863224983215,,
0.4031882584095001,6,109,,,,,
,6,118,0.45206642150878906,0.5364350080490112,,,
,6,118,,,0.4224887788295746,,
0.4767109155654907,7,119,,,,,
0.3712879419326782,7,129,,,,,
,7,135,0.5516182780265808,0.439839243888855,,,
,7,135,,,0.39554715156555176,,
0.3982868492603302,8,139,,,,,
0.5340194702148438,8,149,,,,,
,8,152,0.45744046568870544,0.49535617232322693,,,
,8,152,,,0.4378904402256012,,
0.3749716877937317,9,159,,,,,
0.3765002191066742,9,169,,,,,
,9,169,0.5004841685295105,0.44289344549179077,,,
,9,169,,,0.43790602684020996,,
0.4135218858718872,10,179,,,,,
,10,186,0.4261784255504608,0.6040123701095581,,,
,10,186,,,0.43267622590065,,
0.4262075424194336,11,189,,,,,
0.3383556604385376,11,199,,,,,
,11,203,0.42687731981277466,0.5560091733932495,,,
,11,203,,,0.38160714507102966,,
0.38342025876045227,12,209,,,,,
0.3689231276512146,12,219,,,,,
,12,220,0.4433101713657379,0.5823049545288086,,,
,12,220,,,0.34672537446022034,,
0.27989286184310913,13,229,,,,,
,13,237,0.41642969846725464,0.5964255332946777,,,
,13,237,,,0.35006314516067505,,
0.3755224347114563,14,239,,,,,
0.2777654528617859,14,249,,,,,
,14,254,0.4463702440261841,0.6231642961502075,,,
,14,254,,,0.3349572718143463,,
0.3357236385345459,15,259,,,,,
0.3228965699672699,15,269,,,,,
,15,271,0.440940260887146,0.5604159235954285,,,
,15,271,,,0.3046770989894867,,
0.3523562252521515,16,279,,,,,
,16,288,0.47474387288093567,0.5614624619483948,,,
,16,288,,,0.28985458612442017,,
0.28696131706237793,17,289,,,,,
0.29323896765708923,17,299,,,,,
,17,305,0.4809495806694031,0.5275073647499084,,,
,17,305,,,0.29993197321891785,,
0.3136225640773773,18,309,,,,,
0.22760799527168274,18,319,,,,,
,18,322,0.49400296807289124,0.5655445456504822,,,
,18,322,,,0.28792643547058105,,
0.22373376786708832,19,329,,,,,
0.26832079887390137,19,339,,,,,
,19,339,0.58356112241745,0.5577865242958069,,,
,19,339,,,0.2527824640274048,,
0.12362080067396164,20,349,,,,,
,20,356,0.5271511673927307,0.5439286828041077,,,
,20,356,,,0.2582457363605499,,
0.19855903089046478,21,359,,,,,
0.30490678548812866,21,369,,,,,
,21,373,0.49286362528800964,0.5775957107543945,,,
,21,373,,,0.28893882036209106,,
0.32932424545288086,22,379,,,,,
0.2552495002746582,22,389,,,,,
,22,390,0.4915026128292084,0.5729060173034668,,,
,22,390,,,0.28657248616218567,,
0.1769481897354126,23,399,,,,,
,23,407,0.5759924650192261,0.5363907814025879,,,
,23,407,,,0.22371765971183777,,
0.23602795600891113,24,409,,,,,
0.2527475357055664,24,419,,,,,
,24,424,0.5838525891304016,0.5605409145355225,,,
,24,424,,,0.24354951083660126,,
0.21269841492176056,25,429,,,,,
0.16185395419597626,25,439,,,,,
,25,441,0.6162521839141846,0.5423914790153503,,,
,25,441,,,0.22842898964881897,,
0.3676741123199463,26,449,,,,,
,26,458,0.6161285638809204,0.529120922088623,,,
,26,458,,,0.19910721480846405,,
0.11992820352315903,27,459,,,,,
0.19179148972034454,27,469,,,,,
,27,475,0.8552700877189636,0.47278743982315063,,,
,27,475,,,0.17476345598697662,,
0.14229747653007507,28,479,,,,,
0.1933107078075409,28,489,,,,,
,28,492,0.7753981947898865,0.5576730370521545,,,
,28,492,,,0.19720879197120667,,
0.2464846670627594,29,499,,,,,
0.19756481051445007,29,509,,,,,
,29,509,0.5958362221717834,0.5386318564414978,,,
,29,509,,,0.20192822813987732,,
0.09127938002347946,30,519,,,,,
,30,526,0.6816565990447998,0.5053596496582031,,,
,30,526,,,0.18677298724651337,,
0.17142131924629211,31,529,,,,,
0.144828662276268,31,539,,,,,
,31,543,0.8572013974189758,0.5500402450561523,,,
,31,543,,,0.14363831281661987,,
0.12538999319076538,32,549,,,,,
0.13314373791217804,32,559,,,,,
,32,560,0.9422571659088135,0.522092878818512,,,
,32,560,,,0.142226904630661,,
0.19126296043395996,33,569,,,,,
,33,577,0.7196998596191406,0.5286836624145508,,,
,33,577,,,0.17161057889461517,,
,13,578,,,,0.3347942531108856,0.7017635107040405
