train_bce_step,epoch,step,val_bce,val_mcc,train_bce_epoch,test_bce,test_mcc
0.7905979752540588,0,9,,,,,
,0,16,0.6193558573722839,0.28451332449913025,,,
,0,16,,,0.7285869717597961,,
0.6150509715080261,1,19,,,,,
0.5635323524475098,1,29,,,,,
,1,33,0.5695827603340149,0.3204725980758667,,,
,1,33,,,0.5836286544799805,,
0.5299586653709412,2,39,,,,,
0.5246233940124512,2,49,,,,,
,2,50,0.4987134635448456,0.4377077519893646,,,
,2,50,,,0.5226425528526306,,
0.5596576929092407,3,59,,,,,
,3,67,0.472343385219574,0.5072854161262512,,,
,3,67,,,0.49990522861480713,,
0.44573333859443665,4,69,,,,,
0.4295736849308014,4,79,,,,,
,4,84,0.46318554878234863,0.5073901414871216,,,
,4,84,,,0.47207915782928467,,
0.42670589685440063,5,89,,,,,
0.6454281210899353,5,99,,,,,
,5,101,0.46062758564949036,0.5345605611801147,,,
,5,101,,,0.4749182462692261,,
0.47070837020874023,6,109,,,,,
,6,118,0.43737727403640747,0.554038405418396,,,
,6,118,,,0.43895387649536133,,
0.4122113287448883,7,119,,,,,
0.39539605379104614,7,129,,,,,
,7,135,0.4318440556526184,0.5732074975967407,,,
,7,135,,,0.4325215816497803,,
0.4110407829284668,8,139,,,,,
0.41536009311676025,8,149,,,,,
,8,152,0.4895131289958954,0.4577651619911194,,,
,8,152,,,0.41520291566848755,,
0.4842560291290283,9,159,,,,,
0.5207827687263489,9,169,,,,,
,9,169,0.4366362690925598,0.5292575359344482,,,
,9,169,,,0.4226463735103607,,
0.4835910201072693,10,179,,,,,
,10,186,0.42838308215141296,0.5681301951408386,,,
,10,186,,,0.40734729170799255,,
0.35379669070243835,11,189,,,,,
0.4167875051498413,11,199,,,,,
,11,203,0.4850988984107971,0.5575647354125977,,,
,11,203,,,0.40306204557418823,,
0.37733715772628784,12,209,,,,,
0.40196776390075684,12,219,,,,,
,12,220,0.4523780345916748,0.533043622970581,,,
,12,220,,,0.39019501209259033,,
0.3934505879878998,13,229,,,,,
,13,237,0.43355339765548706,0.564324676990509,,,
,13,237,,,0.4424397349357605,,
0.33988645672798157,14,239,,,,,
0.4527096450328827,14,249,,,,,
,14,254,0.4376527667045593,0.5931042432785034,,,
,14,254,,,0.42885279655456543,,
0.4755481481552124,15,259,,,,,
0.38170433044433594,15,269,,,,,
,15,271,0.41780850291252136,0.5828990340232849,,,
,15,271,,,0.392904132604599,,
0.4101393222808838,16,279,,,,,
,16,288,0.44689586758613586,0.5448288321495056,,,
,16,288,,,0.3791128098964691,,
0.40675118565559387,17,289,,,,,
0.36394184827804565,17,299,,,,,
,17,305,0.4866398274898529,0.4679369628429413,,,
,17,305,,,0.3837684094905853,,
0.3621433973312378,18,309,,,,,
0.4149807095527649,18,319,,,,,
,18,322,0.41768085956573486,0.5946490168571472,,,
,18,322,,,0.3750959634780884,,
0.38090574741363525,19,329,,,,,
0.30140358209609985,19,339,,,,,
,19,339,0.4536605775356293,0.6028779745101929,,,
,19,339,,,0.3621058464050293,,
0.3152276277542114,20,349,,,,,
,20,356,0.4740012288093567,0.5096920728683472,,,
,20,356,,,0.3779110312461853,,
0.3759533166885376,21,359,,,,,
0.32106202840805054,21,369,,,,,
,21,373,0.43070098757743835,0.6298166513442993,,,
,21,373,,,0.3643222451210022,,
0.35429245233535767,22,379,,,,,
0.26460880041122437,22,389,,,,,
,22,390,0.4422142505645752,0.5497040748596191,,,
,22,390,,,0.37307268381118774,,
0.39944276213645935,23,399,,,,,
,23,407,0.4245530664920807,0.6083164215087891,,,
,23,407,,,0.3651989996433258,,
0.2884751558303833,24,409,,,,,
0.3732834458351135,24,419,,,,,
,24,424,0.4346608519554138,0.5636337995529175,,,
,24,424,,,0.3494824767112732,,
0.3026820123195648,25,429,,,,,
0.3992401659488678,25,439,,,,,
,25,441,0.5301318168640137,0.459429532289505,,,
,25,441,,,0.3884945213794708,,
0.34851598739624023,26,449,,,,,
,26,458,0.4509660005569458,0.5915415287017822,,,
,26,458,,,0.3768281936645508,,
0.378976434469223,27,459,,,,,
0.28747349977493286,27,469,,,,,
,27,475,0.4482748806476593,0.6154453158378601,,,
,27,475,,,0.3705078065395355,,
0.34072956442832947,28,479,,,,,
0.49697554111480713,28,489,,,,,
,28,492,0.5142045617103577,0.5873662233352661,,,
,28,492,,,0.35065895318984985,,
0.29237061738967896,29,499,,,,,
0.47194474935531616,29,509,,,,,
,29,509,0.42020270228385925,0.5541576147079468,,,
,29,509,,,0.35923030972480774,,
0.2833839952945709,30,519,,,,,
,30,526,0.43363720178604126,0.578362762928009,,,
,30,526,,,0.34017130732536316,,
0.30874544382095337,31,529,,,,,
0.33325642347335815,31,539,,,,,
,31,543,0.4234241247177124,0.5688101053237915,,,
,31,543,,,0.342283695936203,,
0.3524697422981262,32,549,,,,,
0.3862306475639343,32,559,,,,,
,32,560,0.4304903447628021,0.5947209000587463,,,
,32,560,,,0.333866149187088,,
0.3360196650028229,33,569,,,,,
,33,577,0.42318007349967957,0.6116102337837219,,,
,33,577,,,0.34928613901138306,,
0.2744084596633911,34,579,,,,,
0.38924384117126465,34,589,,,,,
,34,594,0.43303558230400085,0.5691604614257812,,,
,34,594,,,0.33661189675331116,,
0.3988977074623108,35,599,,,,,
0.3629437983036041,35,609,,,,,
,35,611,0.415495902299881,0.6199355125427246,,,
,35,611,,,0.3795372545719147,,
0.33160218596458435,36,619,,,,,
,36,628,0.420297771692276,0.5699937343597412,,,
,36,628,,,0.35218605399131775,,
0.3437303304672241,37,629,,,,,
0.2888001501560211,37,639,,,,,
,37,645,0.42571017146110535,0.5833522081375122,,,
,37,645,,,0.3319392502307892,,
0.3229356110095978,38,649,,,,,
0.3284760117530823,38,659,,,,,
,38,662,0.43460187315940857,0.5853866934776306,,,
,38,662,,,0.3176688551902771,,
0.3570271134376526,39,669,,,,,
0.40456652641296387,39,679,,,,,
,39,679,0.44030627608299255,0.5723076462745667,,,
,39,679,,,0.3188674747943878,,
0.3126501739025116,40,689,,,,,
,40,696,0.6715980172157288,0.3962826430797577,,,
,40,696,,,0.3417595326900482,,
0.37104782462120056,41,699,,,,,
0.27557456493377686,41,709,,,,,
