train_bce_step,epoch,step,val_bce,val_mcc,train_bce_epoch,test_bce,test_mcc
0.9061110615730286,0,9,,,,,
,0,16,0.6504565477371216,0.35042932629585266,,,
,0,16,,,0.8998042345046997,,
0.6844539642333984,1,19,,,,,
0.5713253617286682,1,29,,,,,
,1,33,0.5981069803237915,0.27312856912612915,,,
,1,33,,,0.6100528240203857,,
0.5576081871986389,2,39,,,,,
0.5550833940505981,2,49,,,,,
,2,50,0.5289360880851746,0.4700413942337036,,,
,2,50,,,0.5621861219406128,,
0.4764063358306885,3,59,,,,,
,3,67,0.47890886664390564,0.48950526118278503,,,
,3,67,,,0.5041349530220032,,
0.5542610287666321,4,69,,,,,
0.5381704568862915,4,79,,,,,
,4,84,0.4880407750606537,0.45452114939689636,,,
,4,84,,,0.4728109836578369,,
0.43505528569221497,5,89,,,,,
0.4875863194465637,5,99,,,,,
,5,101,0.4454578161239624,0.5529124140739441,,,
,5,101,,,0.4542277753353119,,
0.5322197675704956,6,109,,,,,
,6,118,0.4374265670776367,0.5505048632621765,,,
,6,118,,,0.4513806104660034,,
0.45702993869781494,7,119,,,,,
0.34163007140159607,7,129,,,,,
,7,135,0.4203220307826996,0.5902968645095825,,,
,7,135,,,0.4214143455028534,,
0.36946508288383484,8,139,,,,,
0.35093215107917786,8,149,,,,,
,8,152,0.42401593923568726,0.5792853236198425,,,
,8,152,,,0.4142612814903259,,
0.4197389781475067,9,159,,,,,
0.2951792776584625,9,169,,,,,
,9,169,0.4125973880290985,0.6119429469108582,,,
,9,169,,,0.3899674713611603,,
0.33912399411201477,10,179,,,,,
,10,186,0.416750431060791,0.5838757157325745,,,
,10,186,,,0.38671955466270447,,
0.2597101330757141,11,189,,,,,
0.3605008125305176,11,199,,,,,
,11,203,0.4232505261898041,0.5615184903144836,,,
,11,203,,,0.3705430030822754,,
0.29184526205062866,12,209,,,,,
0.3425725996494293,12,219,,,,,
,12,220,0.415696918964386,0.5934504866600037,,,
,12,220,,,0.3460051119327545,,
0.34834516048431396,13,229,,,,,
,13,237,0.4316254258155823,0.5749840140342712,,,
,13,237,,,0.336351215839386,,
0.30575087666511536,14,239,,,,,
0.4329734444618225,14,249,,,,,
,14,254,0.5455666780471802,0.4880528450012207,,,
,14,254,,,0.322208434343338,,
0.3941904306411743,15,259,,,,,
0.2830407917499542,15,269,,,,,
,15,271,0.43938779830932617,0.5709689259529114,,,
,15,271,,,0.342303991317749,,
0.27488481998443604,16,279,,,,,
,16,288,0.4537273645401001,0.532305121421814,,,
,16,288,,,0.2951943576335907,,
0.26655131578445435,17,289,,,,,
0.22900226712226868,17,299,,,,,
,17,305,0.47578510642051697,0.5540464520454407,,,
,17,305,,,0.30245253443717957,,
0.2477254867553711,18,309,,,,,
0.40337905287742615,18,319,,,,,
,18,322,0.47391924262046814,0.5739430785179138,,,
,18,322,,,0.2610478103160858,,
0.26635101437568665,19,329,,,,,
0.17701271176338196,19,339,,,,,
,19,339,0.517112672328949,0.5807031393051147,,,
,19,339,,,0.2558777630329132,,
0.332701712846756,20,349,,,,,
,20,356,0.44606831669807434,0.5674846172332764,,,
,20,356,,,0.2635650932788849,,
0.19483265280723572,21,359,,,,,
0.4025004804134369,21,369,,,,,
,21,373,0.547070324420929,0.5170034766197205,,,
,21,373,,,0.27398237586021423,,
0.26447683572769165,22,379,,,,,
0.14697003364562988,22,389,,,,,
,22,390,0.4729331433773041,0.5625408291816711,,,
,22,390,,,0.2633487582206726,,
0.1905965805053711,23,399,,,,,
,23,407,0.7539345026016235,0.4629029333591461,,,
,23,407,,,0.21146535873413086,,
0.17188169062137604,24,409,,,,,
0.22396205365657806,24,419,,,,,
,24,424,0.5799806714057922,0.5762068033218384,,,
,24,424,,,0.2379019856452942,,
0.3695259392261505,25,429,,,,,
0.22612474858760834,25,439,,,,,
,25,441,0.568508505821228,0.5344588160514832,,,
,25,441,,,0.2612195312976837,,
0.18322962522506714,26,449,,,,,
,26,458,0.5579299926757812,0.5444337725639343,,,
,26,458,,,0.2270587533712387,,
0.21383877098560333,27,459,,,,,
0.29822400212287903,27,469,,,,,
,27,475,0.5643981099128723,0.5379103422164917,,,
,27,475,,,0.20145034790039062,,
0.11628073453903198,28,479,,,,,
0.1110471710562706,28,489,,,,,
,28,492,0.5279597640037537,0.5607001781463623,,,
,28,492,,,0.18480612337589264,,
0.12156352400779724,29,499,,,,,
0.2466430962085724,29,509,,,,,
,29,509,0.6044825315475464,0.5392815470695496,,,
,29,509,,,0.16760821640491486,,
,9,510,,,,0.3419745862483978,0.6588518023490906
