train_bce_step,epoch,step,val_bce,val_mcc,train_bce_epoch,test_bce,test_mcc
0.67579185962677,0,9,,,,,
,0,16,0.6482570767402649,0.23723673820495605,,,
,0,16,,,0.667994499206543,,
0.608136773109436,1,19,,,,,
0.658706784248352,1,29,,,,,
,1,33,0.6249006390571594,0.290362149477005,,,
,1,33,,,0.6291716694831848,,
0.5850440263748169,2,39,,,,,
0.5435404777526855,2,49,,,,,
,2,50,0.6027278304100037,0.2338128536939621,,,
,2,50,,,0.6052249073982239,,
0.5008617639541626,3,59,,,,,
,3,67,0.5935934782028198,0.26520127058029175,,,
,3,67,,,0.5823355913162231,,
0.5832339525222778,4,69,,,,,
0.5263252258300781,4,79,,,,,
,4,84,0.6060789227485657,0.35382553935050964,,,
,4,84,,,0.565134584903717,,
0.5473796129226685,5,89,,,,,
0.5522830486297607,5,99,,,,,
,5,101,0.6071161031723022,0.21149227023124695,,,
,5,101,,,0.5661946535110474,,
0.5544998049736023,6,109,,,,,
,6,118,0.5948420166969299,0.2435096651315689,,,
,6,118,,,0.5800278782844543,,
0.5782592296600342,7,119,,,,,
0.5107354521751404,7,129,,,,,
,7,135,0.5820990800857544,0.29978591203689575,,,
,7,135,,,0.5714167356491089,,
0.6078563928604126,8,139,,,,,
0.4894815683364868,8,149,,,,,
,8,152,0.583091676235199,0.2741750478744507,,,
,8,152,,,0.5621632933616638,,
0.4883080720901489,9,159,,,,,
0.5359209775924683,9,169,,,,,
,9,169,0.5830246210098267,0.31805670261383057,,,
,9,169,,,0.5413181781768799,,
0.5330106019973755,10,179,,,,,
,10,186,0.587314784526825,0.31626713275909424,,,
,10,186,,,0.529964029788971,,
0.53901207447052,11,189,,,,,
0.5606046319007874,11,199,,,,,
,11,203,0.5788170099258423,0.31605100631713867,,,
,11,203,,,0.5226069688796997,,
0.4718025326728821,12,209,,,,,
0.4650667905807495,12,219,,,,,
,12,220,0.5625430941581726,0.39244160056114197,,,
,12,220,,,0.5191990733146667,,
0.45416486263275146,13,229,,,,,
,13,237,0.5757091641426086,0.3691466748714447,,,
,13,237,,,0.5174728035926819,,
0.4858044981956482,14,239,,,,,
0.5032204389572144,14,249,,,,,
,14,254,0.5638055801391602,0.347531259059906,,,
,14,254,,,0.5311229825019836,,
0.529167890548706,15,259,,,,,
0.6242610812187195,15,269,,,,,
,15,271,0.5709484815597534,0.32974112033843994,,,
,15,271,,,0.5278764963150024,,
0.4287731349468231,16,279,,,,,
,16,288,0.5656741857528687,0.3608589172363281,,,
,16,288,,,0.5177947282791138,,
0.432160884141922,17,289,,,,,
0.6075446605682373,17,299,,,,,
,17,305,0.5705461502075195,0.32514476776123047,,,
,17,305,,,0.5038856863975525,,
0.6248699426651001,18,309,,,,,
0.5725804567337036,18,319,,,,,
,18,322,0.5837964415550232,0.3290097713470459,,,
,18,322,,,0.5151158571243286,,
0.5040990114212036,19,329,,,,,
0.4292784631252289,19,339,,,,,
,19,339,0.5624784231185913,0.3773721158504486,,,
,19,339,,,0.5194858908653259,,
0.49113038182258606,20,349,,,,,
,20,356,0.5689835548400879,0.39414697885513306,,,
,20,356,,,0.5064507722854614,,
0.5763710141181946,21,359,,,,,
0.5416600108146667,21,369,,,,,
,21,373,0.562558650970459,0.35606610774993896,,,
,21,373,,,0.5048420429229736,,
0.5498175621032715,22,379,,,,,
