train_bce_step,epoch,step,val_bce,val_mcc,train_bce_epoch,test_bce,test_mcc
0.6596494317054749,0,9,,,,,
,0,16,0.5994210839271545,0.28788477182388306,,,
,0,16,,,0.6503259539604187,,
0.590542197227478,1,19,,,,,
0.6192318201065063,1,29,,,,,
,1,33,0.5382893085479736,0.3735790550708771,,,
,1,33,,,0.5696210861206055,,
0.5448488593101501,2,39,,,,,
0.5360597968101501,2,49,,,,,
,2,50,0.5045194625854492,0.4656752049922943,,,
,2,50,,,0.5216814279556274,,
0.545519232749939,3,59,,,,,
,3,67,0.48259496688842773,0.5080294013023376,,,
,3,67,,,0.4997955858707428,,
0.5079744458198547,4,69,,,,,
0.4406006336212158,4,79,,,,,
,4,84,0.467308908700943,0.5035631656646729,,,
,4,84,,,0.4839291572570801,,
0.42707598209381104,5,89,,,,,
0.4678090214729309,5,99,,,,,
,5,101,0.45706021785736084,0.5318342447280884,,,
,5,101,,,0.47530412673950195,,
0.3445277214050293,6,109,,,,,
,6,118,0.5430816411972046,0.5233821868896484,,,
,6,118,,,0.45786014199256897,,
0.5579274296760559,7,119,,,,,
0.422676146030426,7,129,,,,,
,7,135,0.5287258625030518,0.4295627474784851,,,
,7,135,,,0.46887972950935364,,
0.3519222140312195,8,139,,,,,
0.417437881231308,8,149,,,,,
,8,152,0.4577801525592804,0.5478944182395935,,,
,8,152,,,0.44502532482147217,,
0.5390738248825073,9,159,,,,,
0.478793740272522,9,169,,,,,
,9,169,0.44168803095817566,0.5597009658813477,,,
,9,169,,,0.47212472558021545,,
0.5161598324775696,10,179,,,,,
,10,186,0.443992018699646,0.560318112373352,,,
,10,186,,,0.43051400780677795,,
0.350559800863266,11,189,,,,,
0.5161024928092957,11,199,,,,,
,11,203,0.45094746351242065,0.5236830711364746,,,
,11,203,,,0.42884495854377747,,
0.4136083424091339,12,209,,,,,
0.4891987442970276,12,219,,,,,
,12,220,0.43082481622695923,0.5608255863189697,,,
,12,220,,,0.41615477204322815,,
0.45407143235206604,13,229,,,,,
,13,237,0.43623754382133484,0.561402440071106,,,
,13,237,,,0.41263189911842346,,
0.46552175283432007,14,239,,,,,
0.38685542345046997,14,249,,,,,
,14,254,0.42893654108047485,0.5581960678100586,,,
,14,254,,,0.4156002402305603,,
0.49859148263931274,15,259,,,,,
0.38646215200424194,15,269,,,,,
,15,271,0.43281903862953186,0.5574929118156433,,,
,15,271,,,0.41588303446769714,,
0.3840407729148865,16,279,,,,,
,16,288,0.4314553439617157,0.5810659527778625,,,
,16,288,,,0.41154608130455017,,
0.39051318168640137,17,289,,,,,
0.34896740317344666,17,299,,,,,
,17,305,0.4260285496711731,0.5786082148551941,,,
,17,305,,,0.3952316641807556,,
0.4284159541130066,18,309,,,,,
0.5817383527755737,18,319,,,,,
,18,322,0.43019330501556396,0.5919119715690613,,,
,18,322,,,0.4123864471912384,,
0.32837557792663574,19,329,,,,,
0.3700529634952545,19,339,,,,,
,19,339,0.42713308334350586,0.5848860740661621,,,
,19,339,,,0.3850270211696625,,
0.5875759720802307,20,349,,,,,
,20,356,0.4374311864376068,0.6019303798675537,,,
,20,356,,,0.3905929923057556,,
0.3385074734687805,21,359,,,,,
0.4440317451953888,21,369,,,,,
,21,373,0.4248754680156708,0.5726453065872192,,,
,21,373,,,0.3882068395614624,,
0.2865447402000427,22,379,,,,,
0.3773820996284485,22,389,,,,,
,22,390,0.4303639531135559,0.5766444802284241,,,
,22,390,,,0.39229816198349,,
0.39986950159072876,23,399,,,,,
,23,407,0.46285927295684814,0.5335230231285095,,,
,23,407,,,0.4050219655036926,,
0.4868409037590027,24,409,,,,,
0.3831118047237396,24,419,,,,,
,24,424,0.42326197028160095,0.5926896333694458,,,
,24,424,,,0.39744624495506287,,
0.38770791888237,25,429,,,,,
0.44647639989852905,25,439,,,,,
,25,441,0.5158171057701111,0.5484253764152527,,,
,25,441,,,0.39907097816467285,,
0.3858204782009125,26,449,,,,,
,26,458,0.434798926115036,0.559771716594696,,,
,26,458,,,0.39154544472694397,,
0.47543877363204956,27,459,,,,,
0.3179471790790558,27,469,,,,,
,27,475,0.42138317227363586,0.5859789252281189,,,
,27,475,,,0.37825360894203186,,
0.3116542100906372,28,479,,,,,
0.4757181406021118,28,489,,,,,
,28,492,0.4357825219631195,0.604347288608551,,,
,28,492,,,0.3672535717487335,,
0.41590648889541626,29,499,,,,,
0.26844850182533264,29,509,,,,,
,29,509,0.4275585114955902,0.577903151512146,,,
,29,509,,,0.3710661232471466,,
0.3495812714099884,30,519,,,,,
,30,526,0.42679163813591003,0.5949519276618958,,,
,30,526,,,0.36477845907211304,,
0.4051850736141205,31,529,,,,,
0.48591741919517517,31,539,,,,,
,31,543,0.4338392913341522,0.5746815204620361,,,
,31,543,,,0.3724135160446167,,
0.34001460671424866,32,549,,,,,
0.35189712047576904,32,559,,,,,
,32,560,0.42479321360588074,0.5904528498649597,,,
,32,560,,,0.3722931146621704,,
0.28301742672920227,33,569,,,,,
,33,577,0.4228854477405548,0.5963209867477417,,,
,33,577,,,0.3656842112541199,,
0.30914533138275146,34,579,,,,,
0.3740637004375458,34,589,,,,,
,34,594,0.4303116202354431,0.5522053241729736,,,
,34,594,,,0.3596104681491852,,
0.3846358358860016,35,599,,,,,
0.3825714588165283,35,609,,,,,
,35,611,0.4292824864387512,0.5705355405807495,,,
,35,611,,,0.35929885506629944,,
0.4201279580593109,36,619,,,,,
,36,628,0.42717865109443665,0.5937886238098145,,,
,36,628,,,0.3630482852458954,,
0.40021583437919617,37,629,,,,,
0.3824242055416107,37,639,,,,,
,37,645,0.4392712414264679,0.5444222092628479,,,
,37,645,,,0.38969507813453674,,
0.38368526101112366,38,649,,,,,
0.37035179138183594,38,659,,,,,
,38,662,0.4712263345718384,0.5993363261222839,,,
,38,662,,,0.36368805170059204,,
0.49718379974365234,39,669,,,,,
0.37300586700439453,39,679,,,,,
,39,679,0.4423843324184418,0.6051786541938782,,,
,39,679,,,0.37588176131248474,,
0.385847270488739,40,689,,,,,
,40,696,0.43156498670578003,0.6012332439422607,,,
,40,696,,,0.37715479731559753,,
0.3548871576786041,41,699,,,,,
0.43397876620292664,41,709,,,,,
,41,713,0.48037415742874146,0.5781950950622559,,,
,41,713,,,0.3820151686668396,,
0.4571649432182312,42,719,,,,,
0.4802233576774597,42,729,,,,,
,42,730,0.4259933531284332,0.6124868392944336,,,
,42,730,,,0.3735813498497009,,
0.30189380049705505,43,739,,,,,
,43,747,0.43068623542785645,0.5942289233207703,,,
,43,747,,,0.3512294292449951,,
0.26907551288604736,44,749,,,,,
0.2936578392982483,44,759,,,,,
,44,764,0.4938225746154785,0.5173995494842529,,,
,44,764,,,0.3606953024864197,,
0.5119959712028503,45,769,,,,,
0.32820120453834534,45,779,,,,,
,45,781,0.42280903458595276,0.5853235125541687,,,
,45,781,,,0.3579605519771576,,
0.5434150099754333,46,789,,,,,
,46,798,0.4226949214935303,0.6176038384437561,,,
,46,798,,,0.35965636372566223,,
0.2365422248840332,47,799,,,,,
0.4612404704093933,47,809,,,,,
,47,815,0.4565325677394867,0.5268256664276123,,,
,47,815,,,0.34614327549934387,,
,27,816,,,,0.3547695279121399,0.6544861793518066
