train_bce_step,epoch,step,val_bce,val_mcc,train_bce_epoch,test_bce,test_mcc
0.6764757633209229,0,9,,,,,
,0,16,0.7789223194122314,0.0,,,
,0,16,,,1.155248999595642,,
0.5689338445663452,1,19,,,,,
0.5984256863594055,1,29,,,,,
,1,33,0.5654360055923462,0.4007224440574646,,,
,1,33,,,0.6130499839782715,,
0.5224197506904602,2,39,,,,,
0.5480813384056091,2,49,,,,,
,2,50,0.5006428360939026,0.5070037841796875,,,
,2,50,,,0.5278154611587524,,
0.470177561044693,3,59,,,,,
,3,67,0.49605944752693176,0.4484710693359375,,,
,3,67,,,0.5271909832954407,,
0.4589885175228119,4,69,,,,,
0.5367257595062256,4,79,,,,,
,4,84,0.47459810972213745,0.4841994643211365,,,
,4,84,,,0.49940523505210876,,
0.3853457272052765,5,89,,,,,
0.4943274259567261,5,99,,,,,
,5,101,0.4360858201980591,0.5520312786102295,,,
,5,101,,,0.45368340611457825,,
0.4620165228843689,6,109,,,,,
,6,118,0.5381091833114624,0.5266473889350891,,,
,6,118,,,0.42958393692970276,,
0.5221725106239319,7,119,,,,,
0.38771629333496094,7,129,,,,,
,7,135,0.42626988887786865,0.5548854470252991,,,
,7,135,,,0.44332557916641235,,
0.24582040309906006,8,139,,,,,
0.47635573148727417,8,149,,,,,
,8,152,0.4382428526878357,0.5742254853248596,,,
,8,152,,,0.39722415804862976,,
0.43295201659202576,9,159,,,,,
0.27620330452919006,9,169,,,,,
,9,169,0.539192795753479,0.5347439646720886,,,
,9,169,,,0.39354759454727173,,
0.4281505346298218,10,179,,,,,
,10,186,0.433648943901062,0.5873793363571167,,,
,10,186,,,0.4562213718891144,,
0.37461647391319275,11,189,,,,,
0.36521539092063904,11,199,,,,,
,11,203,0.4538007080554962,0.5606603622436523,,,
,11,203,,,0.373991996049881,,
0.45926257967948914,12,209,,,,,
0.44063711166381836,12,219,,,,,
,12,220,0.500115156173706,0.5523112416267395,,,
,12,220,,,0.3533453047275543,,
0.32484114170074463,13,229,,,,,
,13,237,0.4231240749359131,0.6042088270187378,,,
,13,237,,,0.3556276857852936,,
0.19875767827033997,14,239,,,,,
0.4039306640625,14,249,,,,,
,14,254,0.4432899057865143,0.5927774906158447,,,
,14,254,,,0.34675660729408264,,
0.27601850032806396,15,259,,,,,
0.337351530790329,15,269,,,,,
,15,271,0.42698562145233154,0.5822052359580994,,,
,15,271,,,0.35460853576660156,,
0.27023836970329285,16,279,,,,,
,16,288,0.44478166103363037,0.5531483888626099,,,
,16,288,,,0.32100972533226013,,
0.17985959351062775,17,289,,,,,
0.3179177939891815,17,299,,,,,
,17,305,0.43632206320762634,0.5472586154937744,,,
,17,305,,,0.316182017326355,,
0.24795570969581604,18,309,,,,,
0.4360659718513489,18,319,,,,,
,18,322,0.6473149061203003,0.5523461699485779,,,
,18,322,,,0.28275954723358154,,
0.3879362642765045,19,329,,,,,
0.3219863474369049,19,339,,,,,
,19,339,0.44062677025794983,0.5622988939285278,,,
,19,339,,,0.3911903202533722,,
0.24738621711730957,20,349,,,,,
,20,356,0.47683408856391907,0.6050569415092468,,,
,20,356,,,0.2941235899925232,,
0.2989093065261841,21,359,,,,,
0.2027648389339447,21,369,,,,,
,21,373,0.4498964846134186,0.5444679856300354,,,
,21,373,,,0.28184595704078674,,
0.323639839887619,22,379,,,,,
0.20768097043037415,22,389,,,,,
,22,390,0.5215702652931213,0.5109724998474121,,,
,22,390,,,0.2735792100429535,,
0.3595871925354004,23,399,,,,,
,23,407,0.45351043343544006,0.5187610387802124,,,
,23,407,,,0.28222018480300903,,
0.22994258999824524,24,409,,,,,
0.21835319697856903,24,419,,,,,
,24,424,0.538812518119812,0.49745112657546997,,,
,24,424,,,0.24107125401496887,,
0.15420177578926086,25,429,,,,,
0.3208051919937134,25,439,,,,,
,25,441,0.49021822214126587,0.5419888496398926,,,
,25,441,,,0.22599607706069946,,
0.1823241263628006,26,449,,,,,
,26,458,0.5716750025749207,0.5691962242126465,,,
,26,458,,,0.1974457949399948,,
0.12582242488861084,27,459,,,,,
0.19907604157924652,27,469,,,,,
,27,475,0.5755660533905029,0.5381433367729187,,,
,27,475,,,0.17579740285873413,,
0.19982260465621948,28,479,,,,,
0.17539513111114502,28,489,,,,,
,28,492,0.7218095660209656,0.5656411051750183,,,
,28,492,,,0.1735600382089615,,
0.34351038932800293,29,499,,,,,
0.2789258360862732,29,509,,,,,
,29,509,0.6010011434555054,0.585252583026886,,,
,29,509,,,0.20322425663471222,,
0.22945499420166016,30,519,,,,,
,30,526,0.8183217644691467,0.44220805168151855,,,
,30,526,,,0.16666510701179504,,
0.1376417875289917,31,529,,,,,
0.3085189461708069,31,539,,,,,
,31,543,0.7344245314598083,0.571201503276825,,,
,31,543,,,0.21117088198661804,,
0.2697134017944336,32,549,,,,,
0.11552976071834564,32,559,,,,,
,32,560,0.6635095477104187,0.5492104887962341,,,
,32,560,,,0.21642108261585236,,
0.14521285891532898,33,569,,,,,
,33,577,0.6537730693817139,0.5485579967498779,,,
,33,577,,,0.1484489142894745,,
,13,578,,,,0.34385350346565247,0.6972545385360718
